company
Company73,Tech Giant,11-50,UK,"cloud, VR, ads"
Company74,Design,1001-5000,India,"templates, UI/UX, drag-and-drop"
Company75,Marketplace,51-200,UK,"listings, booking, travel"
Company76,Cybersecurity,11-50,Canada,"firewall, SIEM, threat detection"
Company77,Design,201-500,USA,"UI/UX, templates, graphic design"
Company78,Cybersecurity,11-50,India,"firewall, threat detection, encryption"
Company79,Productivity,11-50,USA,"workspace, notes, project management"
Company80,Marketplace,51-200,Germany,"peer-to-peer, booking, rental"
Company81,Enterprise Tech,201-500,Canada,"cloud computing, B2B, infrastructure"
Company82,AI,5001-10000,India,"GPT, machine learning, language models"
Company83,Design,501-1000,Germany,"UI/UX, drag-and-drop, templates"
Company84,Automation,11-50,Australia,"efficiency, bots, workflow"
Company85,Enterprise Tech,51-200,India,"B2B, security, cloud computing"
Company86,AI,501-1000,USA,"GPT, LLMs, language models"
Company87,Ecommerce,51-200,India,"orders, retail, marketplace"
Company88,Productivity,201-500,USA,"workspace, notes, collaboration"
Company89,Cybersecurity,11-50,UK,"encryption, SIEM, firewall"
Company90,SaaS,11-50,India,"automation, CRM, cloud"
Company91,Marketplace,51-200,Canada,"booking, rental, travel"
Company92,Marketplace,201-500,India,"rental, listings, booking"
Company93,Marketplace,10000+,India,"travel, listings, peer-to-peer"
Company94,Analytics,201-500,USA,"visualization, BI, dashboards"
Company95,Design,201-500,UK,"UI/UX, graphic design, templates"
Company96,Messaging,51-200,Germany,"communication, support, bots"
Company97,Marketplace,1001-5000,Germany,"booking, travel, rental"
Company98,Cybersecurity,10000+,Germany,"firewall, SIEM, encryption"
Company99,Messaging,1001-5000,India,"support, chat, communication"
Company100,AI,51-200,UK,"machine learning, LLMs, GPT"
Company101,Ecommerce,1001-5000,UK,"orders, marketplace, logistics"
Company102,AI,501-1000,Germany,"LLMs, machine learning, language models"
Company103,Tech Giant,11-50,Germany,"VR, ads, android"
Company104,Automation,501-1000,India,"bots, workflow, efficiency"
Company105,AI,501-1000,Canada,"LLMs, language models, GPT"
Company106,Analytics,5001-10000,USA,"metrics, BI, visualization"
Company107,Tech Giant,1001-5000,USA,"VR, android, ads"
Company108,Messaging,201-500,USA,"engagement, support, bots"
Company109,Cybersecurity,501-1000,Germany,"threat detection, encryption, SIEM"
Company110,Ecommerce,10000+,Australia,"orders, marketplace, retail"
Company111,AI,201-500,Australia,"LLMs, machine learning, NLP"
Company112,Analytics,201-500,USA,"metrics, BI, visualization"
Company113,AI,10000+,USA,"machine learning, language models, NLP"
Company114,Design,10000+,Germany,"graphic design, templates, UI/UX"
Company115,Analytics,501-1000,UK,"visualization, BI, data"
Company116,Marketplace,201-500,USA,"peer-to-peer, listings, rental"
Company117,Cybersecurity,51-200,Australia,"threat detection, encryption, SIEM"
Company118,AI,11-50,Germany,"language models, NLP, machine learning"
Company119,Analytics,501-1000,Canada,"metrics, data, dashboards"
Company120,Cybersecurity,10000+,Canada,"SIEM, threat detection, firewall"
